0.000000000,6.200000000,1,"A"
6.200000000,5.600000000,2,"B"
11.800000000,6.400000000,3,"C"
18.200000000,13.000000000,4,"D"
31.200000000,8.400000000,5,"E"
39.600000000,9.400000000,6,"F"
49.000000000,9.400000000,1,"A"
58.400000000,9.800000000,7,"G"
68.200000000,10.200000000,8,"H"
78.400000000,7.800000000,6,"F"
86.200000000,6.000000000,7,"G"
92.200000000,9.200000000,2,"B"
101.400000000,12.400000000,3,"C"
113.800000000,17.600000000,8,"H"
131.400000000,6.000000000,3,"C"
137.400000000,-29.000000000,6,"F"
