0.000000000,4.200000000,1,"A"
4.200000000,4.600000000,2,"B"
8.800000000,7.200000000,3,"C"
16.000000000,7.800000000,4,"D"
23.800000000,6.000000000,5,"E"
29.800000000,6.200000000,6,"F"
36.000000000,7.800000000,7,"G"
43.800000000,7.400000000,5,"E"
51.200000000,8.800000000,8,"H"
60.000000000,6.400000000,9,"I"
66.400000000,6.800000000,3,"C"
73.200000000,4.000000000,2,"B"
77.200000000,5.400000000,6,"F"
82.600000000,6.000000000,4,"D"
88.600000000,6.400000000,2,"B"
95.000000000,18.000000000,7,"G"
113.000000000,8.200000000,1,"A"
121.200000000,8.200000000,2,"B"
