0.000000000,11.377777778,2,"B"
11.377777778,12.492335601,1,"A"
23.870113379,9.404081632,1,"A"
33.274195011,11.853786848,2,"B"
45.127981859,11.412607710,1,"A"
56.540589569,9.113832200,1,"A"
65.654421769,3.854512471,0,"N5"
69.508934240,9.624671202,1,"A"
79.133605442,13.769433107,0,"N6"
92.903038549,9.659501134,1,"A"
102.562539683,7.743854875,0,"N7"
110.306394558,11.946666666,1,"A"
122.253061224,9.218321996,1,"A"
131.471383220,12.561995465,3,"C"
144.033378685,9.601451247,1,"A"
153.634829932,5.189659864,0,"N10"
158.824489796,9.473741497,1,"A"
168.298231293,8.428843537,0,"N11"
176.727074830,13.003174603,1,"A"
189.730249433,9.903310658,1,"A"
199.633560091,7.151746031,3,"C"
