0.000000000,5.800000000,1,"A"
5.800000000,4.200000000,2,"B"
10.000000000,11.800000000,3,"C"
21.800000000,5.000000000,4,"D"
26.800000000,9.400000000,5,"E"
36.200000000,6.000000000,4,"D"
42.200000000,7.000000000,6,"F"
49.200000000,7.400000000,7,"G"
56.600000000,6.600000000,8,"H"
63.200000000,4.600000000,4,"D"
67.800000000,7.000000000,9,"I"
74.800000000,6.200000000,4,"D"
81.000000000,13.000000000,2,"B"
94.000000000,5.600000000,1,"A"
99.600000000,7.800000000,4,"D"
107.400000000,9.800000000,3,"C"
117.200000000,7.000000000,1,"A"
124.200000000,6.200000000,6,"F"
130.400000000,10.200000000,10,"J"
140.600000000,9.800000000,8,"H"
150.400000000,8.800000000,2,"B"
159.200000000,9.000000000,7,"G"
168.200000000,7.800000000,5,"E"
176.000000000,24.600000000,4,"D"
200.600000000,7.600000000,10,"J"
208.200000000,7.600000000,6,"F"
215.800000000,7.600000000,10,"J"
223.400000000,8.600000000,8,"H"
232.000000000,6.400000000,6,"F"
238.400000000,6.600000000,1,"A"
245.000000000,11.000000000,3,"C"
256.000000000,3.600000000,4,"D"
