0.000000000,17.000000000,1,"A"
17.000000000,9.800000000,2,"B"
26.800000000,9.400000000,3,"C"
36.200000000,6.200000000,4,"D"
42.400000000,14.400000000,5,"E"
56.800000000,10.400000000,2,"B"
67.200000000,11.600000000,3,"C"
78.800000000,18.600000000,6,"F"
97.400000000,9.000000000,2,"B"
106.400000000,9.200000000,3,"C"
115.600000000,5.800000000,4,"D"
121.400000000,15.600000000,6,"F"
137.000000000,9.400000000,7,"G"
146.400000000,9.000000000,3,"C"
155.400000000,6.800000000,4,"D"
162.200000000,17.600000000,6,"F"
